iter	Logloss
0	0.6173067064
1	0.5579220328
2	0.514810382
3	0.4809460652
4	0.453390681
5	0.4332487612
6	0.4165531554
7	0.4046573826
8	0.3935213978
9	0.3849083545
10	0.3786600043
11	0.3726586586
12	0.3678595843
13	0.364182103
14	0.3607540739
15	0.3583694559
16	0.3557232202
17	0.3534897276
18	0.3518368706
19	0.3492551826
20	0.3469291398
21	0.3456175509
22	0.343813177
23	0.3418027496
24	0.3407518973
25	0.339347538
26	0.3378075966
27	0.3370800948
28	0.3365043792
29	0.3355888151
30	0.334814879
31	0.3339138547
32	0.3329372678
33	0.3321782631
34	0.3315806644
35	0.3310225483
36	0.3304787761
37	0.3301084039
38	0.3297029552
39	0.3292684515
40	0.3286061338
41	0.3281808336
42	0.3278459052
43	0.3273894205
44	0.3266824065
45	0.3263791277
46	0.3259933836
47	0.3253877562
48	0.3250779909
49	0.3246690419
50	0.3242549525
51	0.3238700161
52	0.323316306
53	0.3229105146
54	0.3224688389
55	0.3221977973
56	0.3219270004
57	0.3215123481
58	0.321173283
59	0.3207703555
60	0.3204646045
61	0.3202198029
62	0.3199712808
63	0.3196890284
64	0.3194568818
65	0.3192960144
66	0.319021448
67	0.3187413251
68	0.318494957
69	0.3181720226
70	0.3178942497
71	0.3176914029
72	0.3172307815
73	0.3169198657
74	0.3167490358
75	0.316354088
76	0.3159919649
77	0.3157839778
78	0.3156032834
79	0.3152743275
80	0.3150786772
81	0.3147676145
82	0.314565086
83	0.314366939
84	0.314212142
85	0.3140986634
86	0.3140907081
87	0.3139031844
88	0.3139026949
89	0.313548429
90	0.3132255681
91	0.3129427772
92	0.3128284908
93	0.312752463
94	0.3127504559
95	0.3124415472
96	0.3118362381
97	0.3115760646
98	0.3113716513
99	0.3113599754
100	0.3110275192
101	0.3108905909
102	0.3107788502
103	0.3106719071
104	0.3103850284
105	0.3100631221
106	0.3099754675
107	0.3097944793
108	0.3097733061
109	0.3096760317
110	0.3094216104
111	0.3092172216
112	0.3091031066
113	0.3088895631
114	0.3087319266
115	0.308549323
116	0.3085351259
117	0.3085209288
118	0.3083729366
119	0.3081162389
120	0.308033333
121	0.3078563102
122	0.3076548587
123	0.3076455572
124	0.3076219117
125	0.3076006406
126	0.3073416909
127	0.3071652067
128	0.3069769242
129	0.3069724448
130	0.3069723958
131	0.3068730653
132	0.3066998855
133	0.3066310787
134	0.3063600371
135	0.3063537463
136	0.3061946902
137	0.3060934749
138	0.3059504027
139	0.3058038791
140	0.3054861096
141	0.3052585159
142	0.3050609319
143	0.3048694917
144	0.3048423215
145	0.3047471522
146	0.3045552714
147	0.3045262409
148	0.3043211667
149	0.3038739101
150	0.3038661506
151	0.3036798508
152	0.3036315318
153	0.3034478756
154	0.3032396683
155	0.3032209918
156	0.3030295761
157	0.3028941165
158	0.3028872383
159	0.3028798215
160	0.3028241347
161	0.3026337961
162	0.3024231899
163	0.3024178538
164	0.302194764
165	0.3021719997
166	0.302017986
167	0.3018465931
168	0.3017476053
169	0.3015110528
170	0.3013266622
171	0.3010782625
172	0.3007972829
173	0.3005358855
174	0.3003594502
175	0.3001262266
176	0.3000161749
177	0.299829361
178	0.2997689501
179	0.2995638758
180	0.2994054072
181	0.2993999242
182	0.2993937313
183	0.2991889998
184	0.2991082234
185	0.2990314613
186	0.299031241
187	0.2990216947
188	0.2990214989
189	0.2990126135
190	0.2988387728
191	0.2986648587
192	0.2986591309
193	0.2985433269
194	0.2982490804
195	0.2981137187
196	0.2981067426
197	0.2979494244
198	0.2979381157
199	0.2979283735
200	0.2977986907
201	0.2975592253
202	0.2973615678
203	0.2973555218
204	0.2972753818
205	0.2971599939
206	0.2971431288
207	0.2969334772
208	0.2967963287
209	0.2966208725
210	0.2966184002
211	0.2966176414
212	0.2964737859
213	0.2962586269
214	0.2962476609
215	0.2962438913
216	0.2962227916
217	0.2961539358
218	0.2961018962
219	0.2960987875
220	0.295995614
221	0.2959885644
222	0.2958813765
223	0.2958355788
224	0.2958277704
225	0.2957895362
226	0.2957872353
227	0.2956430616
228	0.2955062068
229	0.2954524782
230	0.2952697521
231	0.2952191078
232	0.2952039805
233	0.2950394659
234	0.2949166123
235	0.2948124352
236	0.2946890186
237	0.2945081284
238	0.2944240719
239	0.2942928959
240	0.2942831293
241	0.2942777197
242	0.2942721388
243	0.2942648934
244	0.2940977107
245	0.2940562455
246	0.2939462916
247	0.2938887935
248	0.2938881081
249	0.2937525995
250	0.2936200283
251	0.293570363
252	0.2935622854
253	0.2935500955
254	0.2934754385
255	0.2934721095
256	0.2934592342
257	0.293453996
258	0.2934151989
259	0.2933172146
260	0.2933142283
261	0.2931742648
262	0.2931705197
263	0.2930645068
264	0.2929557034
265	0.2929530108
266	0.2929516156
267	0.2929514687
268	0.292913822
269	0.2929097098
270	0.2927828908
271	0.2927148428
272	0.2925376976
273	0.2925205877
274	0.2923754349
275	0.2923720325
276	0.2923688994
277	0.2923504677
278	0.2923434426
279	0.2922963964
280	0.2921334973
281	0.2921264722
282	0.2921230208
283	0.2919904251
284	0.2919860926
285	0.2919860681
286	0.2919818579
287	0.2919737558
288	0.2918075277
289	0.2916309945
290	0.291628767
291	0.2916263682
292	0.2916247037
293	0.2916237491
294	0.2915561906
295	0.2915554318
296	0.2915548444
297	0.2915544282
298	0.2915534736
299	0.2913778216
300	0.2913205193
301	0.2913046088
302	0.2910780676
303	0.2910733189
304	0.290935999
305	0.2908269998
306	0.2908246499
307	0.2907681065
308	0.2906018049
309	0.2904389548
310	0.290438196
311	0.2904363356
312	0.2903752638
313	0.2902709888
314	0.2902228901
315	0.2902176274
316	0.2902162076
317	0.2901749138
318	0.2899806587
319	0.2898113464
320	0.2897543868
321	0.2897539462
322	0.2897403611
323	0.2897387211
324	0.2897284404
325	0.2897240834
326	0.2897231043
327	0.2897205097
328	0.2897195305
329	0.2897187717
330	0.2896862409
331	0.2896860695
332	0.2896856044
333	0.2896854086
334	0.2895209674
335	0.2893914559
336	0.2893876129
337	0.2893683979
338	0.2893679818
339	0.2892770226
340	0.2892769736
341	0.2892736447
342	0.2892730572
343	0.289272176
344	0.2892720536
345	0.2892691408
346	0.2892686757
347	0.2892679414
348	0.2892657139
349	0.2892652733
350	0.2892649551
351	0.2892620667
352	0.2892615282
353	0.289260647
354	0.2892591784
355	0.2892568285
356	0.2892563145
357	0.289254087
358	0.2892525204
359	0.2892511986
360	0.289246352
361	0.2892448834
362	0.2892444673
363	0.2892444183
364	0.2892429007
365	0.2892420684
366	0.2891210262
367	0.2891208548
368	0.2890064216
369	0.2890061523
370	0.2890059565
371	0.2890058831
372	0.2889293413
373	0.2889292679
374	0.2889292434
375	0.2889279461
376	0.2889279461
377	0.2889276768
378	0.2889275789
379	0.2889267956
380	0.2889266487
381	0.2889257675
382	0.2889241031
383	0.2889238583
384	0.2889225365
385	0.2889212147
386	0.2889207986
387	0.2889206272
388	0.2886949183
389	0.2886946491
390	0.2886898269
391	0.288689264
392	0.2886297587
393	0.2886274578
394	0.2883577869
395	0.2881844113
396	0.2881438517
397	0.2879833759
398	0.2879193422
399	0.2879155237
400	0.2878910215
401	0.2878889165
402	0.2878304392
403	0.2878302434
404	0.2878282607
405	0.2876851396
406	0.28767317
407	0.2875506101
408	0.2872945488
409	0.2872315922
410	0.2871681949
411	0.2871442557
412	0.2870248535
413	0.2870174367
414	0.287013814
415	0.2868240384
416	0.2868212235
417	0.2865989659
418	0.2864708986
419	0.286351276
420	0.2862960543
421	0.2861764562
422	0.2861687213
423	0.2861663225
424	0.2860362235
425	0.2857141458
426	0.2856353276
427	0.2856249736
428	0.2856240679
429	0.285600349
430	0.285579494
431	0.2855671083
432	0.2853793888
433	0.2852444676
434	0.2851706918
435	0.2851212469
436	0.2851159597
437	0.2849066998
438	0.2849061368
439	0.2847625996
440	0.2845853565
441	0.2843675784
442	0.2842072249
443	0.2842066864
444	0.2841752815
445	0.2841568008
446	0.2840289783
447	0.2838406958
448	0.2838392271
449	0.2838179805
450	0.2837100093
451	0.2837093484
452	0.2836040943
453	0.2835433161
454	0.2835411376
455	0.2834364465
456	0.2834313796
457	0.2833402981
458	0.2832802787
459	0.2832287776
460	0.283161366
461	0.2830478874
462	0.2830467369
463	0.283039565
464	0.2830110485
465	0.2829603306
466	0.2829600369
467	0.2829195753
468	0.2828537547
469	0.2828517231
470	0.2827068885
471	0.2826487539
472	0.2825809507
473	0.2825792617
474	0.2825769853
475	0.2824287973
476	0.2823825834
477	0.2822597053
478	0.2822576737
479	0.2820329194
480	0.2819544194
481	0.2819184372
482	0.2817909573
483	0.2817023969
484	0.2815497784
485	0.2813380953
486	0.2811842774
487	0.2810723898
488	0.2810607384
489	0.281058976
490	0.280942609
491	0.2807440458
492	0.2807423324
493	0.2807403252
494	0.2807384405
495	0.2807324189
496	0.2807315622
497	0.280729604
498	0.2807278906
499	0.280594071
500	0.2805928226
501	0.2804202548
502	0.2804142088
503	0.2803045976
504	0.2802404416
505	0.2800594045
506	0.2798834832
507	0.2798510992
508	0.2798467177
509	0.2797484886
510	0.2796268589
511	0.279448906
512	0.2794477556
513	0.2794394821
514	0.2793647762
515	0.279363797
516	0.2792985395
517	0.2792979275
518	0.2792973401
519	0.2791613664
520	0.2790812019
521	0.2790501642
522	0.2789887252
523	0.2788778167
524	0.2787741291
525	0.2787722688
526	0.27868317
527	0.2785332685
528	0.2785047765
529	0.2784062537
530	0.2784057886
531	0.2783236415
532	0.2781947908
533	0.2780636638
534	0.2778037595
535	0.2777391139
536	0.27768962
537	0.2776571625
538	0.2776408359
539	0.2776355977
540	0.2775315674
541	0.2774111861
542	0.2773070334
543	0.27718675
544	0.2770603227
545	0.2769267478
546	0.2768431565
547	0.2768312848
548	0.2768308687
549	0.2768291552
550	0.2768272704
551	0.2766906359
552	0.2765073224
553	0.2764528105
554	0.2764500445
555	0.2763419755
556	0.27627826
557	0.2762749555
558	0.2761671802
559	0.2761111262
560	0.276025797
561	0.2759818105
562	0.2759622773
563	0.2759499895
564	0.2759392683
565	0.2759378975
566	0.2759026496
567	0.2758072111
568	0.2758069663
569	0.2757124334
570	0.275535019
571	0.2753763055
572	0.2753670285
573	0.2752175921
574	0.2752090249
575	0.2751857956
576	0.2751801412
577	0.275042038
578	0.2750224069
579	0.2749183032
580	0.2749159044
581	0.2749089772
582	0.2748708654
583	0.274869152
584	0.2748050694
585	0.274763702
586	0.2746757781
587	0.2746633924
588	0.2746613852
589	0.2746390616
590	0.2745311883
591	0.2745002975
592	0.2743133123
593	0.2742958107
594	0.2741478919
595	0.2741435839
596	0.2741432412
597	0.2741336949
598	0.2740966111
599	0.2740063863
600	0.2739225747
601	0.2738036375
602	0.2736677862
603	0.2736085502
604	0.2736072039
605	0.2735833137
606	0.2735465971
607	0.2734988411
608	0.2734978865
609	0.2734695658
610	0.2733020404
611	0.2733000577
612	0.2732995681
613	0.2732993968
614	0.2732987604
615	0.2732977323
616	0.2731671927
617	0.2731668011
618	0.2731567652
619	0.2731489079
620	0.2731355675
621	0.2730151127
622	0.2729200903
623	0.2729082186
624	0.2728775236
625	0.2728138815
626	0.272808986
627	0.2727643142
628	0.2727621112
629	0.2726335543
630	0.2724101952
631	0.2724086286
632	0.2724073068
633	0.2724068907
634	0.2723937217
635	0.2723827068
636	0.2723780805
637	0.2723772972
638	0.2723768566
639	0.2723756572
640	0.2723576416
641	0.27229679
642	0.272296227
643	0.2722960557
644	0.2721696528
645	0.2721691388
646	0.2721170992
647	0.2721165362
648	0.2721155816
649	0.2721140884
650	0.2721120323
651	0.2720015399
652	0.2720013441
653	0.271996008
654	0.2719316316
655	0.2718404522
656	0.271840036
657	0.2718355811
