iter	Logloss
0	0.6168996241
1	0.5599670477
2	0.5188139308
3	0.4859533463
4	0.4572517765
5	0.4360587595
6	0.419889234
7	0.4072530101
8	0.3960239928
9	0.3868130808
10	0.3789417617
11	0.3742332038
12	0.3689065853
13	0.3645089448
14	0.3604676125
15	0.357800917
16	0.3554066228
17	0.3528881372
18	0.3505376905
19	0.3484005877
20	0.3470276733
21	0.3454440551
22	0.3438363936
23	0.3424848064
24	0.3410242372
25	0.3400598174
26	0.3389609219
27	0.3380451839
28	0.3368824343
29	0.3358201512
30	0.3347452973
31	0.33399175
32	0.3329889137
33	0.3320394963
34	0.3313859815
35	0.330822499
36	0.3303138387
37	0.329581103
38	0.3289016122
39	0.3280984549
40	0.3273243108
41	0.3265905763
42	0.3259462336
43	0.3251920734
44	0.3246463677
45	0.3239854416
46	0.3233173649
47	0.3229669901
48	0.322631138
49	0.3220292876
50	0.3213185361
51	0.3209826386
52	0.320430618
53	0.3199462121
54	0.3195773779
55	0.3191590637
56	0.3185923472
57	0.3180936459
58	0.3176013784
59	0.317222482
60	0.3169013419
61	0.316575505
62	0.3160983689
63	0.315774535
64	0.3153304788
65	0.3147716535
66	0.3142779093
67	0.3140003861
68	0.3135861038
69	0.3132343089
70	0.3124460788
71	0.3120469015
72	0.311438816
73	0.3110414732
74	0.3106885211
75	0.3103956437
76	0.3099705141
77	0.3095376549
78	0.3091485688
79	0.3087612403
80	0.3083996438
81	0.3081561376
82	0.3077642439
83	0.3074769211
84	0.3070335648
85	0.3067072045
86	0.3063283639
87	0.3060136
88	0.305652979
89	0.3054428151
90	0.3051234169
91	0.3047517347
92	0.3042744753
93	0.3038712673
94	0.3034619897
95	0.3032437735
96	0.3028759775
97	0.3024471677
98	0.3021189758
99	0.3016932291
100	0.3012209427
101	0.3007604075
102	0.3003983188
103	0.3001102504
104	0.2998965104
105	0.2993954204
106	0.2990132191
107	0.2984918713
108	0.2982767481
109	0.2979632109
110	0.297750976
111	0.2974026355
112	0.2972241235
113	0.2967833504
114	0.2963095549
115	0.295988486
116	0.2957982297
117	0.2953751855
118	0.2950247572
119	0.294789792
120	0.2943602677
121	0.2942138762
122	0.2938098558
123	0.2935867477
124	0.2934067469
125	0.2929954911
126	0.2924034757
127	0.2920233291
128	0.2914853319
129	0.291013743
130	0.2905983123
131	0.2902576562
132	0.2899566194
133	0.2896061652
134	0.2895019587
135	0.2893646394
136	0.2889702721
137	0.2888560433
138	0.2885069512
139	0.2882132048
140	0.287755402
141	0.2873424228
142	0.2870311499
143	0.2866245816
144	0.286371408
145	0.2859464938
146	0.2855407987
147	0.2851652368
148	0.284830445
149	0.2844600294
150	0.2841936306
151	0.2840615206
152	0.2837805168
153	0.2833193955
154	0.283146757
155	0.2828163194
156	0.2827658852
157	0.2824877106
158	0.2822200859
159	0.2817077543
160	0.2812444151
161	0.28092616
162	0.2805073572
