iter	Logloss
0	0.6384434452
1	0.5941508985
2	0.559361974
3	0.529033671
4	0.5015050393
5	0.4800267894
6	0.4611039041
7	0.4469546133
8	0.4327555432
9	0.4206125284
10	0.4108347948
11	0.403375707
12	0.3963643013
13	0.3895136835
14	0.3834281709
15	0.3783903306
16	0.3752999424
17	0.3708002832
18	0.3670289918
19	0.3640349778
20	0.3616947265
21	0.3593541167
22	0.3568770204
23	0.3547582452
24	0.3528736976
25	0.351329879
26	0.3495724123
27	0.3484005624
28	0.3472376069
29	0.3462178665
30	0.3447269078
31	0.3435646213
32	0.342230289
33	0.3412133645
34	0.3405338236
35	0.3396105496
36	0.3389416035
37	0.3380882644
38	0.3370856363
39	0.3363915761
40	0.3355930653
41	0.3347759079
42	0.3341096779
43	0.3335110108
44	0.3329399556
45	0.3322687979
46	0.3316012664
47	0.3310838047
48	0.3306887113
49	0.3300317512
50	0.329478065
51	0.3290507405
52	0.328582747
53	0.3280759552
54	0.3275400159
55	0.3269888489
56	0.3264584316
57	0.3259522646
58	0.3255065343
59	0.3251343798
60	0.3245579405
61	0.3243212612
62	0.3239454984
63	0.3235529652
64	0.3231926618
65	0.3227061198
66	0.3222120537
67	0.3218711275
68	0.3215089741
69	0.3211927954
70	0.3207850155
71	0.3202770469
72	0.3199347475
73	0.3194376363
74	0.3191642215
75	0.3188331046
76	0.3185767883
77	0.3182567176
78	0.3177871255
79	0.3175245242
80	0.3172324048
81	0.3169147073
82	0.3165401912
83	0.3162575269
84	0.3159527704
85	0.3156135006
86	0.3152117444
87	0.3149087963
88	0.314627478
89	0.3143265743
90	0.3140035106
91	0.3135706115
92	0.3132344506
93	0.3129814769
94	0.3126281308
95	0.3123654818
96	0.3120500925
97	0.3115377579
98	0.3111896424
99	0.3109148947
100	0.3106410948
101	0.3104361266
102	0.3101963078
103	0.3100436507
104	0.3098346495
105	0.3095048566
106	0.3091543394
107	0.3086859633
108	0.3083895422
109	0.308060795
110	0.307829247
111	0.3075927341
112	0.3071897611
113	0.3069742353
114	0.3067026259
115	0.3064570701
116	0.306157875
117	0.305912713
118	0.3056619801
119	0.3053439314
120	0.3049105015
121	0.3045879433
122	0.3042457852
123	0.3039863976
124	0.3036676949
125	0.3034406261
126	0.3030691309
127	0.3029085668
128	0.3024653634
129	0.302227281
130	0.3019528756
131	0.3015600138
132	0.3012310919
133	0.300933719
134	0.3007389662
135	0.3005134258
136	0.3003067347
137	0.3000110813
138	0.299780288
139	0.2995688495
140	0.2993259011
141	0.2990343859
142	0.2988952885
143	0.2985330099
144	0.2983116887
145	0.2982011306
146	0.2979010612
147	0.2976378675
148	0.2973311363
149	0.2971339419
150	0.2969439239
151	0.2967977567
152	0.2965379155
153	0.296423117
154	0.296279987
155	0.2959676584
156	0.2958332408
157	0.29569077
158	0.2954622267
159	0.2951587857
160	0.2948724791
161	0.294516659
162	0.2942707111
163	0.2940396608
164	0.2939135963
165	0.2936990041
166	0.2933821782
167	0.2933714276
168	0.2931525653
169	0.2929499515
170	0.2926667159
171	0.2922419415
172	0.2920098853
173	0.2917509973
174	0.2915843463
175	0.2913412864
176	0.2912215587
177	0.2909552347
178	0.2907918228
179	0.2904237496
180	0.2901587965
181	0.2897849026
182	0.2895493984
183	0.2892617343
184	0.2891186514
185	0.2888522564
186	0.2887318125
187	0.2885613629
188	0.2883895076
189	0.2881252622
190	0.2879077191
191	0.2876453687
192	0.287332045
193	0.2871395021
194	0.2867617147
195	0.2865522628
196	0.2861508282
197	0.2858190332
198	0.2856754581
199	0.2853721441
200	0.2852241692
201	0.2849431372
202	0.2846500798
203	0.2843860861
204	0.2842385734
205	0.2840576832
206	0.2837539957
207	0.2833802509
208	0.2832449479
209	0.282999469
210	0.2828676992
211	0.2826061894
212	0.2824005057
213	0.2820713448
214	0.2817427019
215	0.2815465218
216	0.2812629393
217	0.281107657
218	0.2808150223
219	0.2805182633
220	0.2803821349
221	0.2800183533
222	0.2797800752
223	0.2794682237
224	0.2793470945
225	0.2790516613
226	0.2788687902
227	0.2785941202
228	0.2783776507
229	0.2781004798
230	0.2778413142
231	0.2775362901
232	0.2773108649
233	0.2769669944
234	0.2767848396
235	0.2766062464
236	0.2763905339
237	0.2760552455
238	0.2759443471
239	0.2758158714
240	0.2755926448
241	0.2753709487
242	0.2750702713
243	0.2747906252
244	0.274660923
245	0.274390457
246	0.2743255394
247	0.2741894639
248	0.2739938316
249	0.2737835019
250	0.2734901899
251	0.2733141056
252	0.273126633
253	0.2728676061
254	0.272549241
255	0.272336162
256	0.2722142605
257	0.271936593
258	0.2717456156
259	0.2714133654
260	0.271159171
261	0.2708881324
262	0.2706717023
263	0.2704838907
264	0.270188283
265	0.2700097505
266	0.2698954387
267	0.2696753998
268	0.2694378392
269	0.2693498393
270	0.2690982668
271	0.2688588074
272	0.2686100642
273	0.2684646206
274	0.2682868199
275	0.2679856202
276	0.267882767
277	0.2676601615
278	0.2674451267
279	0.2672957859
280	0.2670750727
281	0.266750576
282	0.2665845057
283	0.2663775175
284	0.2663000979
285	0.2662245511
286	0.2659876429
287	0.265788223
288	0.2656540361
289	0.2654397963
290	0.2651517247
291	0.2649341383
292	0.2647448118
293	0.2644252335
294	0.2642528668
295	0.2640630256
296	0.2638038531
297	0.2635160626
298	0.2634269635
299	0.2631600438
300	0.2630034538
301	0.2628117358
302	0.262653725
303	0.2623646043
304	0.2620789678
305	0.2618493958
306	0.2616420327
307	0.2615201318
308	0.2613045932
309	0.2611359395
310	0.2610186922
311	0.2607810997
312	0.2605775821
313	0.2603881171
314	0.2602134073
315	0.2599960758
316	0.2597936725
317	0.2596329207
318	0.2595016162
319	0.2593167538
320	0.2590846094
321	0.2587918922
322	0.2586358215
323	0.2585057147
324	0.2583365313
325	0.2581837157
326	0.2580215682
327	0.257775106
328	0.2576310783
329	0.2573957068
330	0.2572477681
331	0.257136787
332	0.2568693358
333	0.2566421216
334	0.2564826555
335	0.2562239851
336	0.2559484
337	0.2557957138
338	0.2556530569
339	0.2554564266
340	0.2552395304
341	0.2551614867
342	0.2549414294
343	0.2547162148
344	0.2545839814
345	0.2544187434
346	0.2542585316
347	0.2542194944
348	0.2540117506
349	0.2538109882
350	0.2536443129
351	0.2534152502
352	0.2531834079
353	0.2530063145
354	0.2528282138
355	0.2525965229
356	0.252462021
357	0.2523482085
358	0.2521336221
359	0.2520569054
360	0.2518295586
361	0.2517096713
362	0.2516110318
363	0.2514172799
364	0.2512361698
365	0.25109632
366	0.2509465607
367	0.250799584
368	0.2507244723
369	0.2504476498
370	0.2502818268
371	0.2500899771
372	0.249912302
373	0.2496671225
374	0.2494581341
375	0.2493280307
376	0.2491325173
377	0.2488959213
378	0.2487544392
379	0.2485861914
380	0.2483544497
381	0.2481483659
382	0.247979822
383	0.2478463584
384	0.2476788742
385	0.247483867
386	0.2473556955
387	0.2471238038
388	0.2469596354
389	0.2467881627
390	0.2466380491
391	0.2465183585
392	0.2463911008
393	0.2462345144
394	0.2461358771
395	0.2459913546
396	0.2457748964
397	0.2455702355
398	0.2453391087
399	0.2451346578
400	0.2449165244
401	0.244744007
402	0.2445605487
403	0.2443136904
404	0.2441202675
405	0.2439862314
406	0.2438940705
407	0.2437899026
408	0.2436999546
409	0.2435862172
410	0.2434070043
411	0.2432624407
412	0.2430734808
413	0.2429719642
414	0.2427692139
415	0.2426353008
416	0.2425522292
417	0.2422757229
418	0.2421142521
419	0.2419603402
420	0.2417835351
421	0.2416323561
422	0.2414133626
423	0.2412017299
424	0.2410662123
425	0.2409085201
426	0.2407025437
427	0.2405449356
428	0.2403514992
429	0.240132886
430	0.2400126819
431	0.2397264685
432	0.2395508905
433	0.2394181155
434	0.2392586676
435	0.2391187645
436	0.2389371711
437	0.2387830888
438	0.2386089041
439	0.2384375451
440	0.2382184201
441	0.2380796356
442	0.2379651462
443	0.2378230916
444	0.2375986811
445	0.2374236322
446	0.2372833347
447	0.2371698171
448	0.2369830085
